AssetName,PackageName,Class,Path,Depth,SizeBytes,Mode,ParentPackage,IsCircular,IsUnusedCandidate
MI_Quinn_01,/Game/01_Character/Mesh/Materials/Instances/Quinn/MI_Quinn_01,MaterialInstanceConstant,/Game/01_Character/Mesh/Materials/Instances/Quinn,2,16268,Dependencies,/Game/01_Character/Mesh/Mesh/SKM_Quinn_Portfolio,false,false
M_Attack_Sword_0,/Game/04_Montage/Combat/Sword/M_Attack_Sword_0,AnimMontage,/Game/04_Montage/Combat/Sword,1,29066,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
Attack_Sword_1,/Game/03_Animation/Sword/Attack_Sword_1,AnimSequence,/Game/03_Animation/Sword,2,324807,Dependencies,/Game/04_Montage/Combat/Sword/M_Attack_Sword_0,false,false
SKM_Quinn_Portfolio_Skeleton,/Game/01_Character/Mesh/Mesh/SKM_Quinn_Portfolio_Skeleton,Skeleton,/Game/01_Character/Mesh/Mesh,2,29309,Dependencies,/Game/04_Montage/Combat/Sword/M_Attack_Sword_0,false,false
M_Attack_Sword_1,/Game/04_Montage/Combat/Sword/M_Attack_Sword_1,AnimMontage,/Game/04_Montage/Combat/Sword,1,22629,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
Attack_Sword_2,/Game/03_Animation/Sword/Attack_Sword_2,AnimSequence,/Game/03_Animation/Sword,2,528508,Dependencies,/Game/04_Montage/Combat/Sword/M_Attack_Sword_1,false,false
SKM_Quinn_Portfolio_Skeleton,/Game/01_Character/Mesh/Mesh/SKM_Quinn_Portfolio_Skeleton,Skeleton,/Game/01_Character/Mesh/Mesh,2,29309,Dependencies,/Game/04_Montage/Combat/Sword/M_Attack_Sword_1,false,false
M_Attack_Sword_2,/Game/04_Montage/Combat/Sword/M_Attack_Sword_2,AnimMontage,/Game/04_Montage/Combat/Sword,1,22449,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
Attack_Sword_3,/Game/03_Animation/Sword/Attack_Sword_3,AnimSequence,/Game/03_Animation/Sword,2,551976,Dependencies,/Game/04_Montage/Combat/Sword/M_Attack_Sword_2,false,false
SKM_Quinn_Portfolio_Skeleton,/Game/01_Character/Mesh/Mesh/SKM_Quinn_Portfolio_Skeleton,Skeleton,/Game/01_Character/Mesh/Mesh,2,29309,Dependencies,/Game/04_Montage/Combat/Sword/M_Attack_Sword_2,false,false
M_Draw_Sword,/Game/04_Montage/Combat/Sword/M_Draw_Sword,AnimMontage,/Game/04_Montage/Combat/Sword,1,13754,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
Draw_Sword_1,/Game/03_Animation/Sword/Draw_Sword_1,AnimSequence,/Game/03_Animation/Sword,2,242579,Dependencies,/Game/04_Montage/Combat/Sword/M_Draw_Sword,false,false
Draw_Sword_2,/Game/03_Animation/Sword/Draw_Sword_2,AnimSequence,/Game/03_Animation/Sword,2,260291,Dependencies,/Game/04_Montage/Combat/Sword/M_Draw_Sword,false,false
SKM_Quinn_Portfolio_Skeleton,/Game/01_Character/Mesh/Mesh/SKM_Quinn_Portfolio_Skeleton,Skeleton,/Game/01_Character/Mesh/Mesh,2,29309,Dependencies,/Game/04_Montage/Combat/Sword/M_Draw_Sword,false,false
M_Sheath_Sword,/Game/04_Montage/Combat/Sword/M_Sheath_Sword,AnimMontage,/Game/04_Montage/Combat/Sword,1,13710,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
Sheath_Sword_1,/Game/03_Animation/Sword/Sheath_Sword_1,AnimSequence,/Game/03_Animation/Sword,2,294689,Dependencies,/Game/04_Montage/Combat/Sword/M_Sheath_Sword,false,false
Sheath_Sword_2,/Game/03_Animation/Sword/Sheath_Sword_2,AnimSequence,/Game/03_Animation/Sword,2,311569,Dependencies,/Game/04_Montage/Combat/Sword/M_Sheath_Sword,false,false
SKM_Quinn_Portfolio_Skeleton,/Game/01_Character/Mesh/Mesh/SKM_Quinn_Portfolio_Skeleton,Skeleton,/Game/01_Character/Mesh/Mesh,2,29309,Dependencies,/Game/04_Montage/Combat/Sword/M_Sheath_Sword,false,false
M_GuardIdle_Sowrd_End,/Game/04_Montage/Defense/00_Guard/M_GuardIdle_Sowrd_End,AnimMontage,/Game/04_Montage/Defense/00_Guard,1,13988,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
SKM_Quinn_Portfolio_Skeleton,/Game/01_Character/Mesh/Mesh/SKM_Quinn_Portfolio_Skeleton,Skeleton,/Game/01_Character/Mesh/Mesh,2,29309,Dependencies,/Game/04_Montage/Defense/00_Guard/M_GuardIdle_Sowrd_End,false,false
PF_GuardIdle_Sword_End,/Game/03_Animation/02_Defense/00_Guard/00_Idle/PF_GuardIdle_Sword_End,AnimSequence,/Game/03_Animation/02_Defense/00_Guard/00_Idle,2,403764,Dependencies,/Game/04_Montage/Defense/00_Guard/M_GuardIdle_Sowrd_End,false,false
M_GuardIdle_Sword_BlockHit,/Game/04_Montage/Defense/00_Guard/M_GuardIdle_Sword_BlockHit,AnimMontage,/Game/04_Montage/Defense/00_Guard,1,12232,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
SKM_Quinn_Portfolio_Skeleton,/Game/01_Character/Mesh/Mesh/SKM_Quinn_Portfolio_Skeleton,Skeleton,/Game/01_Character/Mesh/Mesh,2,29309,Dependencies,/Game/04_Montage/Defense/00_Guard/M_GuardIdle_Sword_BlockHit,false,false
PF_GuardIdle_Sword_BlockHit,/Game/03_Animation/02_Defense/00_Guard/00_Idle/PF_GuardIdle_Sword_BlockHit,AnimSequence,/Game/03_Animation/02_Defense/00_Guard/00_Idle,2,320469,Dependencies,/Game/04_Montage/Defense/00_Guard/M_GuardIdle_Sword_BlockHit,false,false
M_GuardIdle_Sword_Start,/Game/04_Montage/Defense/00_Guard/M_GuardIdle_Sword_Start,AnimMontage,/Game/04_Montage/Defense/00_Guard,1,14528,Dependencies,/Game/01_Character/01_Player/BP_CPlayer,false,false
SKM_Quinn_Portfolio_Skeleton,/Game/01_Character/Mesh/Mesh/SKM_Quinn_Portfolio_Skeleton,Skeleton,/Game/01_Character/Mesh/Mesh,2,29309,Dependencies,/Game/04_Montage/Defense/00_Guard/M_GuardIdle_Sword_Start,false,false
PF_GuardIdle_Sword_Start,/Game/03_Animation/02_Defense/00_Guard/00_Idle/PF_GuardIdle_Sword_Start,AnimSequence,/Game/03_Animation/02_Defense/00_Guard/00_Idle,2,403779,Dependencies,/Game/04_Montage/Defense/00_Guard/M_GuardIdle_Sword_Start,false,false
